Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
279,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,23,,75,33.3,5,,10
280,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,24,,75,33.3,5,,10
281,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,25,,75,33.3,5,,10
282,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,26,,75,33.3,5,,10
283,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,27,,75,33.3,5,,10
284,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,28,,75,33.3,5,,10
285,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,29,,75,33.3,5,,10
286,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,30,,75,33.3,5,,10
287,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,31,,75,33.3,5,,10
288,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,32,,75,33.3,5,,10
289,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,33,,75,33.3,5,,10
290,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,34,,75,33.3,5,,10
291,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,35,,75,33.3,5,,10
292,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,36,,75,33.3,5,,10
293,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,37,,75,33.3,5,,10
294,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,38,,75,33.3,5,,10
295,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,39,,75,33.3,5,,10
296,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,40,,75,33.3,5,,10
297,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,41,,75,33.3,5,,10
298,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,42,,75,33.3,5,,10
299,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,43,,75,33.3,5,,10
