Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
435,1972,1972-08-19T00:00:00,60,6,1,21
436,1972,1972-08-19T00:00:00,53,6,1,21
437,1972,1972-08-19T00:00:00,61,6,1,21
438,1972,1972-08-19T00:00:00,64,6,1,21
439,1972,1972-08-19T00:00:00,59,6,1,21
440,1972,1972-08-19T00:00:00,58,6,1,21
441,1972,1972-08-19T00:00:00,54,6,1,21
442,1972,1972-08-19T00:00:00,56,6,1,21
443,1972,1972-08-19T00:00:00,62,6,1,21
444,1972,1972-08-19T00:00:00,55,6,1,21
445,1972,1972-08-19T00:00:00,49,6,1,21
446,1972,1972-08-19T00:00:00,50,6,1,21
447,1972,1972-08-19T00:00:00,51,6,1,21
448,1972,1972-08-19T00:00:00,52,6,1,21
449,1973,1973-10-31T00:00:00,1,7,1,20
450,1973,1973-10-31T00:00:00,2,7,1,20
451,1973,1973-10-31T00:00:00,3,7,1,20
452,1973,1973-10-31T00:00:00,4,7,1,20
453,1973,1973-10-31T00:00:00,5,7,1,20
454,1973,1973-10-31T00:00:00,6,7,1,20
455,1973,1973-10-31T00:00:00,7,7,1,20
456,1973,1973-10-31T00:00:00,8,7,1,20
457,1973,1973-10-31T00:00:00,9,7,1,20
458,1973,1973-10-31T00:00:00,10,7,1,20
459,1973,1973-10-31T00:00:00,11,7,1,20
460,1973,1973-10-31T00:00:00,12,7,1,20
461,1973,1973-10-31T00:00:00,13,7,1,20
462,1973,1973-10-31T00:00:00,14,7,1,20
463,1973,1973-10-31T00:00:00,15,7,1,20
464,1973,1973-10-31T00:00:00,16,7,1,20
465,1973,1973-10-31T00:00:00,22,7,1,20
466,1973,1973-10-31T00:00:00,28,7,1,20
467,1973,1973-10-31T00:00:00,30,7,1,20
468,1973,1973-10-31T00:00:00,26,7,1,20
469,1973,1973-10-31T00:00:00,17,7,1,20
470,1973,1973-10-31T00:00:00,18,7,1,20
471,1973,1973-10-31T00:00:00,19,7,1,20
472,1973,1973-10-31T00:00:00,20,7,1,20
473,1973,1973-10-31T00:00:00,29,7,1,20
474,1973,1973-10-31T00:00:00,31,7,1,20
475,1973,1973-10-31T00:00:00,24,7,1,20
476,1973,1973-10-31T00:00:00,32,7,1,20
477,1973,1973-10-31T00:00:00,25,7,1,20
478,1973,1973-10-31T00:00:00,21,7,1,20
479,1973,1973-10-31T00:00:00,23,7,1,20
480,1973,1973-10-31T00:00:00,27,7,1,20
481,1973,1973-10-31T00:00:00,45,7,1,20
482,1973,1973-10-31T00:00:00,39,7,1,20
483,1973,1973-10-31T00:00:00,37,7,1,20
484,1973,1973-10-31T00:00:00,48,7,1,20
485,1973,1973-10-31T00:00:00,43,7,1,20
486,1973,1973-10-31T00:00:00,41,7,1,20
487,1973,1973-10-31T00:00:00,47,7,1,20
488,1973,1973-10-31T00:00:00,46,7,1,20
489,1973,1973-10-31T00:00:00,33,7,1,20
490,1973,1973-10-31T00:00:00,34,7,1,20
491,1973,1973-10-31T00:00:00,35,7,1,20
492,1973,1973-10-31T00:00:00,36,7,1,20
493,1973,1973-10-31T00:00:00,40,7,1,20
494,1973,1973-10-31T00:00:00,42,7,1,20
495,1973,1973-10-31T00:00:00,44,7,1,20
496,1973,1973-10-31T00:00:00,38,7,1,20
497,1973,1973-10-31T00:00:00,57,7,1,20
498,1973,1973-10-31T00:00:00,63,7,1,20
499,1973,1973-10-31T00:00:00,60,7,1,20
500,1973,1973-10-31T00:00:00,53,7,1,20
501,1973,1973-10-31T00:00:00,61,7,1,20
502,1973,1973-10-31T00:00:00,64,7,1,20
503,1973,1973-10-31T00:00:00,59,7,1,20
504,1973,1973-10-31T00:00:00,58,7,1,20
505,1973,1973-10-31T00:00:00,54,7,1,20
506,1973,1973-10-31T00:00:00,56,7,1,20
507,1973,1973-10-31T00:00:00,62,7,1,20
508,1973,1973-10-31T00:00:00,55,7,1,20
509,1973,1973-10-31T00:00:00,49,7,1,20
510,1973,1973-10-31T00:00:00,50,7,1,20
511,1973,1973-10-31T00:00:00,51,7,1,20
512,1973,1973-10-31T00:00:00,52,7,1,20
513,1973,1973-11-02T00:00:00,1,7,1,18
514,1973,1973-11-02T00:00:00,2,7,1,18
515,1973,1973-11-02T00:00:00,3,7,1,18
516,1973,1973-11-02T00:00:00,4,7,1,18
517,1973,1973-11-02T00:00:00,5,7,1,18
518,1973,1973-11-02T00:00:00,6,7,1,18
519,1973,1973-11-02T00:00:00,7,7,1,18
520,1973,1973-11-02T00:00:00,8,7,1,18
521,1973,1973-11-02T00:00:00,9,7,1,18
522,1973,1973-11-02T00:00:00,10,7,1,18
523,1973,1973-11-02T00:00:00,11,7,1,18
524,1973,1973-11-02T00:00:00,12,7,1,18
